product_version,match_count
MS-SQL Server 2019 CU23,46
MS-SQL Server 2017 CU23,44
MS-SQL Server 2022 CU13,44
MS-SQL Server 2008 SP4,42
MS-SQL Server 2019 CU13,42
MS-SQL Server 2022 CU12+GDR,42
"MS-SQL Server 2017 ",39
MS-SQL Server 2019 CU28+GDR,39
MS-SQL Server 2017 CU28,38
MS-SQL Server 2017 CU19,37
MS-SQL Server 2019 CU22,37
MS-SQL Server 2019 CU27,37
MS-SQL Server 2014 SP3CU4,36
MS-SQL Server 2022 CU9,36
MS-SQL Server 2019 CU22+GDR,35
MS-SQL Server 2022 CU23+GDR,35
MS-SQL Server 2019 CU29,34
MS-SQL Server 2017 CU22+GDR,33
MS-SQL Server 2022 CU22+GDR,33
MS-SQL Server 2008 SP4+,32
MS-SQL Server 2019 CU11,32
MS-SQL Server 2016 SP3,31
MS-SQL Server 2022 CU12,31
MS-SQL Server 2019 CU9,30
MS-SQL Server 2019 CU27+GDR,29
MS-SQL Server 2019 CU8+GDR,29
MS-SQL Server 2022 CU10,29
MS-SQL Server 2019 CU6,28
MS-SQL Server 2012 SP2CU16,27
MS-SQL Server 2019 CU10,27
MS-SQL Server 2019 CU12,27
MS-SQL Server 2019 CU19,27
MS-SQL Server 2017 CU22,26
MS-SQL Server 2019 CU4,26
MS-SQL Server 2022 CU1,24
MS-SQL Server 2014 SP2CU17+GDR,23
MS-SQL Server 2025,23
MS-SQL Server 2017 CU20,22
MS-SQL Server 2017 CU17,21
MS-SQL Server 2019 CU25+GDR,21
MS-SQL Server 2017 CU21,20
MS-SQL Server 2017 CU24,20
MS-SQL Server 2022 CU13+GDR,20
MS-SQL Server 2022 CU14+GDR,20
MS-SQL Server 2019 CU14,19
MS-SQL Server 2022 CU21+GDR,19
MS-SQL Server 2016 SP2CU11,18
MS-SQL Server 2016 SP2CU6,18
MS-SQL Server 2017 CU25,17
MS-SQL Server 2025 CU1+,17
MS-SQL Server 2025 CU5,17
MS-SQL Server 2016 RTMGDR,16
MS-SQL Server 2017 CU29,16
MS-SQL Server 2017 CU29+GDR,16
MS-SQL Server 2025 CU4+,16
MS-SQL Server 2014 SP1,15
MS-SQL Server 2016 SP2CU15,15
MS-SQL Server 2017 CU16,15
MS-SQL Server 2017 CU30,15
MS-SQL Server 2022 CU10+GDR,15
MS-SQL Server 2022 CU22+GDR+,15
MS-SQL Server 2000 RTM,14
MS-SQL Server 2005 SP3RTW+,14
MS-SQL Server 2008 R2 SP1CU1,14
MS-SQL Server 2016 SP2CU12,14
MS-SQL Server 2016 SP2CU16,14
Microsoft RPC Endpoint Mapper over HTTP,14
nginx,14
MS-SQL Server 2012 SP3GDR,13
MS-SQL Server 2019 CU3,13
MS-SQL Server 2022 CU19+GDR,13
MS-SQL Server 2022 CU7,13
MS-SQL Server 2025 CU6,13
MS-SQL Server 2012 SP1CU7,12
MS-SQL Server 2012 SP3CU10,12
MS-SQL Server 2016 RTM+,12
MS-SQL Server 2016 RTMCU9,12
MS-SQL Server 2022 CU6,12
MS-SQL Server 2025 CU6+,12
MS-SQL Server 2005 SP4+,11
MS-SQL Server 2008 R2 SP3+,11
MS-SQL Server 2016 SP2CU15+GDR,11
MS-SQL Server 2017 CU18,11
MS-SQL Server 2017 CU26,11
MS-SQL Server 2022 CU4,11
MS-SQL Server 2022 CU8,11
MS-SQL Server 2016 RTMCU3+GDR,10
MS-SQL Server 2016 SP2CU11+GDR,10
MS-SQL Server 2016 SP2CU2+GDR,10
MS-SQL Server 2017 CU14,10
MS-SQL Server 2005 RTM+,9
MS-SQL Server 2017,9
MS-SQL Server 2017 CU13+,9
MS-SQL Server 2017 CU15+GDR,9
MS-SQL Server 2019 CU31,9
MS-SQL Server 2019 CU5,9
MS-SQL Server 2005 SP3,8
MS-SQL Server 2014 SP2CU18,8
MS-SQL Server 2016 SP1CU1,8
MS-SQL Server 2016 SP2CU13,8
MS-SQL Server 2017 CU5,8
MS-SQL Server 2022,8
MS-SQL Server 2025 CU4+GDR,8
MS-SQL Server 2012 SP4GDR+,7
MS-SQL Server 2016 RTMCU7,7
MS-SQL Server 2016 SP1CU8,7
MS-SQL Server 2025 CU2+GDR,7
MS-SQL Server 2025 CU3,7
MS-SQL Server 2025 CU4,7
Apache httpd,6
MS-SQL Server 2014 SP2CU12,6
MS-SQL Server 2016 RTMCU1,6
MS-SQL Server 2017 CU13,6
MS-SQL Server 2022 CU8+GDR,6
MS-SQL Server 2008 SP1,5
MS-SQL Server 2014 SP3CU3,5
MS-SQL Server 2016 SP2CU7+GDR,5
MS-SQL Server 2017 CU14+GDR,5
MS-SQL Server 2017 CU15,5
MS-SQL Server 2019 CU7,5
MS-SQL Server 2022 CU5,5
MS-SQL Server 2025 CU2,5
MS-SQL Server 2008 R2 SP3GDR+,4
MS-SQL Server 2008 SP2,4
MS-SQL Server 2012 SP2CU1,4
MS-SQL Server 2014 SP1CU1+,4
MS-SQL Server 2016 SP1CU5,4
MS-SQL Server 2016 SP2CU14,4
MS-SQL Server 2017 CU12,4
MS-SQL Server 2019,4
MS-SQL Server 2005 SP1+,3
MS-SQL Server 2008 R2 SP1CU14+,3
MS-SQL Server 2012 RTMCU11+,3
MS-SQL Server 2012 SP1CU3+,3
MS-SQL Server 2012 SP1CU5,3
MS-SQL Server 2014 SP2CU5,3
MS-SQL Server 2014 SP3CU1,3
MS-SQL Server 2014 SP3CU3+GDR,3
MS-SQL Server 2016 RTMCU9+GDR,3
MS-SQL Server 2016 SP1CU15,3
MS-SQL Server 2016 SP2CU7,3
MS-SQL Server 2017 CU1,3
MS-SQL Server 2025 CU1,3
Remote Desktop Protocol,3
MS-SQL Server 2005 SP2CU9,2
MS-SQL Server 2008,2
MS-SQL Server 2008 SP1CU3,2
MS-SQL Server 2012 SP1CU2,2
MS-SQL Server 2012 SP1CU4,2
MS-SQL Server 2012 SP3CU2,2
MS-SQL Server 2014 SP2CU11,2
MS-SQL Server 2014 SP2CU7,2
MS-SQL Server 2016 RTMCU2,2
MS-SQL Server 2016 RTMCU3,2
MS-SQL Server 2016 SP1CU10+GDR,2
MS-SQL Server 2016 SP1CU2,2
MS-SQL Server 2016 SP1CU3,2
MS-SQL Server 2016 SP1RTW/PCU1+,2
MS-SQL Server 2016 SP2CU10,2
MS-SQL Server 2016 SP2CU4,2
MS-SQL Server 2016 SP2CU5,2
MS-SQL Server 2016 SP2CU8,2
MS-SQL Server 2017 CU11,2
MS-SQL Server 2017 CU7,2
MS-SQL Server 2017 CU9+GDR,2
MS-SQL Server 2019 CU2,2
MS-SQL Server 2019 CU23+,2
rsyncd,2
MS-SQL Server 2008 R2 RTM+,1
MS-SQL Server 2008 R2 RTMCU1,1
MS-SQL Server 2008 R2 RTMCU13+,1
MS-SQL Server 2008 R2 RTMCU5,1
MS-SQL Server 2008 R2 RTMCU7,1
MS-SQL Server 2008 R2 SP2CU10,1
MS-SQL Server 2008 R2 SP2CU13,1
MS-SQL Server 2008 R2 SP2RTW/PCU2+,1
MS-SQL Server 2008 SP3CU11+,1
MS-SQL Server 2012 RTMCU1,1
MS-SQL Server 2012 SP1CU8,1
MS-SQL Server 2012 SP2CU10,1
MS-SQL Server 2012 SP3+,1
MS-SQL Server 2012 SP3CU5,1
MS-SQL Server 2014 RTMCU1+,1
MS-SQL Server 2014 RTMCU6,1
MS-SQL Server 2014 SP1CU6,1
MS-SQL Server 2014 SP1CU7,1
MS-SQL Server 2014 SP2CU10,1
MS-SQL Server 2014 SP2CU14,1
MS-SQL Server 2014 SP2CU15,1
MS-SQL Server 2014 SP2CU17,1
MS-SQL Server 2014 SP2CU2,1
MS-SQL Server 2014 SP2CU4,1
MS-SQL Server 2014 SP2CU6,1
MS-SQL Server 2014 SP3CU2,1
MS-SQL Server 2016,1
MS-SQL Server 2016 SP1CU11,1
MS-SQL Server 2016 SP1CU12,1
MS-SQL Server 2016 SP1CU13,1
MS-SQL Server 2016 SP1CU14,1
MS-SQL Server 2016 SP1CU4,1
MS-SQL Server 2016 SP1CU7,1
MS-SQL Server 2016 SP2CU1,1
MS-SQL Server 2017 CU4,1
MS-SQL Server 2017 CU8,1
MS-SQL Server 2017 CU9,1
Prometheus Node Exporter,1
WinRM,1
